url,results
https://d1ufwp9avx6rux.cloudfront.net/,good
https://server.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://gnu.org/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://presence.teams.microsoft.com/,good
https://google.com/,good
https://gnu.org/,good
https://us-east-1.console.aws.amazon.com/,good
https://presence.teams.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://self.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za-prod.asyncgw.teams.microsoft.com/,good
https://eu-teams.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za.ng.msg.teams.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://eu-teams.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://eu-teams.events.data.microsoft.com/,good
https://za-prod.asyncgw.teams.microsoft.com/,good
https://eu-mobile.events.data.microsoft.com/,good
https://statics.teams.cdn.office.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://statics.teams.cdn.office.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://g.live.com/,good
https://google.com,good
https://graph.microsoft.com/,good
https://github.com/,good
https://github.com/,good
https://graph.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za.ng.msg.teams.microsoft.com/,good
https://za.ng.msg.teams.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za-prod.asyncgw.teams.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za.ng.msg.teams.microsoft.com/,good
https://google.com/,good
https://graph.microsoft.com/,good
https://google.com/,good
https://graph.microsoft.com/,good
https://github.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://server.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://google.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://za.ng.msg.teams.microsoft.com/,good
https://eu-teams.events.data.microsoft.com/,good
https://graph.microsoft.com/,good
https://github.com/,good
https://gnu.org/,good
https://google.com/,good
https://self.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://gnu.org/,good
https://eu-teams.events.data.microsoft.com/,good
https://teams.microsoft.com/,good
https://github.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://teams.microsoft.com/,good
https://a.nel.cloudflare.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://eu-teams.events.data.microsoft.com/,good
https://google.com,good
https://google.com,good
https://sabc.com,good
https://sabc.com,good
https://latest-source-code.d3067varx3e2v5.amplifyapp.com/sign-in,good
https://latest-source-code.d3067varx3e2v5.amplifyapp.com,good
https://github.com,good
https://us-east-1.console.aws.amazon.com/,good
https://github.com/Sipho-Haraba-Tesladigitech,good
https://www.gnu.org/proprietary/malware-webpages.en.html,good
https://us-east-1.console.aws.amazon.com/ec2/home?region=us-east-1,good
